"no","time","temperature","humidity"
0,17:15:0,28.5,49.8
1,17:15:1,28.7,48.3
2,17:15:2,28.7,49.9
3,17:15:3,28.6,49.6
4,17:15:4,28.6,49.9
5,17:15:5,28.6,49.7
6,17:15:6,28.6,50.0
7,17:15:7,28.6,50.3
8,17:15:8,28.7,50.4
9,17:15:9,28.8,50.6
10,17:15:10,28.7,50.6
11,17:15:11,28.8,51.0
12,17:15:12,28.8,51.2
13,17:15:13,28.9,51.6
14,17:15:14,28.9,51.6
15,17:15:15,28.9,52.4
16,17:15:16,29.0,52.0
17,17:15:17,28.8,51.4
18,17:15:18,29.0,51.9
19,17:15:19,29.1,52.5
20,17:15:20,29.0,50.2
21,17:15:21,29.1,50.8
22,17:15:22,29.2,52.3
23,17:15:23,29.1,51.9
24,17:15:24,29.2,51.9
25,17:15:25,29.2,52.4
26,17:15:26,29.3,52.4
27,17:15:27,29.3,52.6
28,17:15:28,29.2,52.3
29,17:15:29,29.3,52.4
30,17:15:30,29.4,52.1
31,17:15:31,29.4,52.5
32,17:15:32,29.4,52.6
33,17:15:33,29.4,52.6
34,17:15:34,29.4,52.6
35,17:15:35,29.4,52.3
36,17:15:36,29.5,52.3
37,17:15:37,29.6,52.2
38,17:15:38,29.5,52.6
39,17:15:39,29.4,51.5
40,17:15:40,29.4,53.1
41,17:15:41,29.6,52.5
42,17:15:42,29.6,52.3
43,17:15:44,29.6,51.8
44,17:15:45,29.6,52.0
45,17:15:46,29.7,52.6
46,17:15:47,29.7,52.3
47,17:15:48,29.7,52.5
48,17:15:49,29.7,52.6
49,17:15:50,29.7,52.4
50,17:15:51,29.7,52.8
51,17:15:52,29.8,52.4
52,17:15:53,29.7,52.3
53,17:15:54,29.8,52.2
54,17:15:55,29.9,52.1
55,17:15:56,29.7,53.8
56,17:15:57,29.9,52.7
57,17:15:58,30.0,52.2
58,17:15:59,29.8,52.3
59,17:16:0,29.9,52.5
60,17:16:1,30.0,52.0
61,17:16:2,30.0,52.6
62,17:16:3,30.0,51.2
63,17:16:4,30.0,51.0
64,17:16:5,30.1,52.2
65,17:16:6,30.1,52.2
66,17:16:7,30.1,53.2
67,17:16:8,30.2,52.0
68,17:16:9,30.0,51.9
69,17:16:10,30.1,51.9
70,17:16:11,30.2,51.6
71,17:16:12,30.2,51.9
72,17:16:13,30.2,51.9
73,17:16:14,30.2,51.8
74,17:16:15,30.3,51.5
75,17:16:16,30.3,51.7
76,17:16:17,30.3,51.8
77,17:16:18,30.4,54.0
78,17:16:19,30.0,51.5
79,17:16:20,30.4,51.5
80,17:16:21,30.3,50.3
81,17:16:22,30.1,51.9
82,17:16:23,30.2,51.8
83,17:16:24,30.4,51.6
84,17:16:25,30.4,50.8
85,17:16:26,30.4,52.4
86,17:16:27,30.5,52.1
87,17:16:28,30.4,51.0
88,17:16:29,30.4,51.2
89,17:16:30,30.5,50.6
90,17:16:31,30.5,51.4
91,17:16:32,30.6,50.9
92,17:16:33,30.6,51.0
93,17:16:34,30.6,50.9
94,17:16:35,30.6,50.8
95,17:16:36,30.5,50.7
96,17:16:37,30.6,51.1
97,17:16:38,30.8,51.1
98,17:16:39,30.6,51.1
99,17:16:40,30.7,51.2
100,17:16:41,30.8,51.0
101,17:16:42,30.8,50.7
102,17:16:43,30.7,51.1
103,17:16:44,30.7,51.3
104,17:16:45,30.8,52.1
105,17:16:46,30.9,52.8
106,17:16:47,30.8,51.3
107,17:16:48,30.8,51.3
108,17:16:49,30.9,51.4
109,17:16:50,30.8,51.7
110,17:16:51,30.9,51.7
111,17:16:52,30.8,51.5
112,17:16:53,31.0,51.4
113,17:16:54,31.0,51.6
114,17:16:55,30.9,51.4
115,17:16:56,30.9,51.6
116,17:16:57,30.9,51.5
117,17:16:58,30.9,51.8
118,17:16:59,31.0,51.6
119,17:17:0,31.1,51.7
120,17:17:1,31.1,51.7
121,17:17:2,31.0,51.4
122,17:17:3,31.0,51.7
123,17:17:4,31.0,50.5
124,17:17:5,31.1,51.8
125,17:17:6,31.0,52.0
126,17:17:7,31.1,51.6
127,17:17:8,31.0,51.8
128,17:17:9,31.1,52.2
129,17:17:10,31.2,51.9
130,17:17:11,31.1,51.7
131,17:17:12,31.3,51.8
132,17:17:13,31.2,51.7
133,17:17:14,31.1,51.2
134,17:17:15,31.1,51.6
135,17:17:16,31.2,51.4
136,17:17:17,31.1,51.7
137,17:17:18,31.3,51.8
138,17:17:19,31.2,51.6
139,17:17:20,31.2,51.5
140,17:17:21,31.2,51.5
141,17:17:22,31.2,51.5
142,17:17:23,31.3,50.1
143,17:17:24,31.2,51.6
144,17:17:25,31.3,50.4
145,17:17:26,31.3,51.6
146,17:17:27,31.3,51.4
147,17:17:28,31.3,52.6
148,17:17:29,31.4,51.0
149,17:17:30,31.4,51.3
150,17:17:31,31.4,51.3
151,17:17:32,31.4,51.9
152,17:17:33,31.3,51.5
153,17:17:34,31.5,51.4
154,17:17:35,31.3,51.2
155,17:17:36,31.5,51.3
156,17:17:37,31.4,51.7
157,17:17:38,31.5,51.2
158,17:17:39,31.4,51.2
159,17:17:40,31.4,51.4
160,17:17:41,31.4,51.2
161,17:17:42,31.4,51.6
162,17:17:43,31.6,51.1
163,17:17:44,31.2,51.2
164,17:17:45,31.5,51.2
165,17:17:46,31.5,51.3
166,17:17:47,31.5,52.0
167,17:17:48,31.5,50.9
168,17:17:49,31.5,51.0
169,17:17:50,31.6,51.4
170,17:17:51,31.5,51.5
171,17:17:52,31.6,51.1
172,17:17:53,31.4,50.9
173,17:17:54,31.5,50.8
174,17:17:55,31.7,50.8
175,17:17:56,31.6,51.0
176,17:17:57,31.6,50.7
177,17:17:58,31.7,50.7
178,17:17:59,31.6,50.8
179,17:18:0,31.6,51.0
180,17:18:1,31.5,51.3
181,17:18:2,31.6,51.6
182,17:18:3,31.6,49.4
183,17:18:4,31.6,50.4
184,17:18:5,31.7,51.0
185,17:18:6,31.7,51.2
186,17:18:7,31.7,50.6
187,17:18:8,31.7,50.6
188,17:18:9,31.7,50.7
189,17:18:10,31.8,50.4
190,17:18:11,31.7,50.9
191,17:18:12,31.6,51.9
192,17:18:13,31.8,50.9
193,17:18:14,31.8,50.6
194,17:18:15,31.9,50.9
195,17:18:16,31.7,50.7
196,17:18:17,31.8,50.8
197,17:18:18,31.9,49.1
198,17:18:19,31.7,50.8
199,17:18:20,31.9,50.3
200,17:18:21,31.8,51.0
201,17:18:22,31.8,50.2
202,17:18:23,31.8,50.2
203,17:18:24,31.8,50.2
204,17:18:25,31.9,50.6
205,17:18:26,31.8,50.6
206,17:18:27,31.9,50.6
207,17:18:28,31.9,50.5
208,17:18:29,31.8,50.3
209,17:18:30,31.8,50.1
210,17:18:31,31.8,50.3
211,17:18:32,32.0,50.4
212,17:18:33,31.9,52.2
213,17:18:34,31.9,50.1
214,17:18:35,31.8,50.0
215,17:18:36,31.9,52.2
216,17:18:37,31.9,49.1
217,17:18:38,32.0,50.2
218,17:18:39,31.9,50.1
219,17:18:40,31.9,50.1
220,17:18:41,31.9,50.1
221,17:18:42,31.9,50.3
222,17:18:43,31.9,50.1
223,17:18:44,32.0,50.0
224,17:18:45,31.9,50.0
225,17:18:46,31.9,50.6
226,17:18:47,31.9,50.1
227,17:18:48,32.0,49.9
228,17:18:49,32.0,50.1
229,17:18:51,31.9,50.1
230,17:18:52,32.1,49.5
231,17:18:53,31.9,48.3
232,17:18:54,32.1,50.0
233,17:18:55,31.9,49.9
234,17:18:56,32.0,49.7
235,17:18:57,31.9,49.9
236,17:18:58,32.1,50.0
237,17:18:59,31.9,49.9
238,17:19:0,31.9,49.7
239,17:19:1,32.0,49.6
240,17:19:2,32.0,49.9
241,17:19:3,32.0,49.8
242,17:19:4,32.1,50.0
243,17:19:5,32.1,49.8
244,17:19:6,32.0,49.8
245,17:19:7,32.0,50.7
246,17:19:8,32.0,50.5
247,17:19:9,32.1,49.7
248,17:19:10,32.1,50.2
249,17:19:11,32.0,48.9
250,17:19:12,32.0,49.8
251,17:19:13,32.1,49.5
252,17:19:14,32.1,49.7
253,17:19:15,32.1,49.8
254,17:19:16,32.1,49.5
255,17:19:17,32.0,49.6
256,17:19:18,32.1,49.6
257,17:19:19,32.1,49.1
258,17:19:20,32.1,49.6
259,17:19:21,32.1,49.5
260,17:19:22,32.2,49.3
261,17:19:23,31.9,49.4
262,17:19:24,32.2,48.9
263,17:19:25,32.1,49.1
264,17:19:26,32.3,47.5
265,17:19:27,32.2,50.3
